"","date_value","type","group","value"
"662",2015-10-24,"arrest","violent",19
"663",2015-10-25,"arrest","violent",21
"664",2015-10-26,"arrest","violent",26
"665",2015-10-27,"arrest","violent",26
"666",2015-10-28,"arrest","violent",31
"667",2015-10-29,"arrest","violent",32
"668",2015-10-30,"arrest","violent",29
"669",2015-10-31,"arrest","violent",22
"670",2015-11-01,"arrest","violent",21
"671",2015-11-02,"arrest","violent",27
"672",2015-11-03,"arrest","violent",30
"673",2015-11-04,"arrest","violent",32
"674",2015-11-05,"arrest","violent",36
"675",2015-11-06,"arrest","violent",19
"676",2015-11-07,"arrest","violent",27
"677",2015-11-08,"arrest","violent",34
"678",2015-11-09,"arrest","violent",23
"679",2015-11-10,"arrest","violent",27
"680",2015-11-11,"arrest","violent",46
"681",2015-11-12,"arrest","violent",28
"682",2015-11-13,"arrest","violent",34
"683",2015-11-14,"arrest","violent",25
"684",2015-11-15,"arrest","violent",12
"685",2015-11-16,"arrest","violent",30
"686",2015-11-17,"arrest","violent",34
"687",2015-11-18,"arrest","violent",20
"688",2015-11-19,"arrest","violent",31
"689",2015-11-20,"arrest","violent",27
"690",2015-11-21,"arrest","violent",19
"691",2015-11-22,"arrest","violent",17
"692",2015-11-23,"arrest","violent",42
"693",2015-11-24,"arrest","violent",25
"694",2015-11-25,"arrest","violent",17
"695",2015-11-26,"arrest","violent",10
"696",2015-11-27,"arrest","violent",20
