"","date_value","arrests_violent","arrests_property","arrests_drugs","arrests_firearms","arrests_other","arrests_uncategorized","charges_violent","charges_property","charges_drugs","charges_firearms","charges_other","charges_uncategorized"
"320",2014-11-16,18,8,32,1,1,17,22,11,48,2,2,9
"321",2014-11-17,23,11,11,1,2,15,21,11,13,1,2,7
"322",2014-11-18,23,16,23,1,7,19,23,14,21,1,9,5
"323",2014-11-19,22,13,46,2,8,20,25,13,33,2,6,31
"324",2014-11-20,38,9,36,5,2,22,34,7,43,4,2,11
"325",2014-11-21,28,17,27,4,5,17,34,147,27,3,5,8
"326",2014-11-22,33,20,46,3,2,20,27,20,51,5,1,9
"327",2014-11-23,39,18,27,9,9,14,37,16,31,7,9,8
"328",2014-11-24,30,65,18,1,1,17,34,18,16,4,0,10
"329",2014-11-25,26,19,16,1,6,17,21,47,12,0,5,10
"330",2014-11-26,25,10,31,5,4,17,38,17,35,3,6,10
"331",2014-11-27,12,5,23,3,2,9,13,8,27,5,2,4
"332",2014-11-28,20,12,39,0,3,17,16,10,26,1,2,6
"333",2014-11-29,12,16,60,2,4,29,14,19,44,1,5,6
"334",2014-11-30,20,22,23,6,5,27,23,20,47,7,5,17
"335",2014-12-01,19,21,12,5,1,13,17,31,13,4,2,13
"336",2014-12-02,38,21,27,1,9,10,31,44,33,2,8,5
"337",2014-12-03,21,15,43,0,10,28,35,20,38,0,15,16
"338",2014-12-04,36,38,38,0,11,22,31,18,36,0,11,13
"339",2014-12-05,25,70,33,4,17,13,22,18,32,3,14,10
"340",2014-12-06,28,25,59,0,4,23,25,25,47,1,7,8
"341",2014-12-07,24,7,22,2,1,15,42,27,37,3,2,9
"342",2014-12-08,22,55,16,0,8,12,16,11,15,0,0,6
"343",2014-12-09,23,18,30,1,7,19,25,16,23,1,15,14
"344",2014-12-10,17,21,51,2,6,26,17,16,37,2,0,9
"345",2014-12-11,39,15,80,2,10,16,29,22,59,1,8,10
"346",2014-12-12,22,24,51,4,5,20,35,30,83,5,9,5
"347",2014-12-13,35,18,60,2,3,24,33,19,66,2,3,15
"348",2014-12-14,19,4,24,1,5,19,35,10,30,1,5,13
"349",2014-12-15,36,56,12,1,1,21,29,13,11,0,0,12
"350",2014-12-16,22,24,34,2,2,24,22,23,26,3,2,13
"351",2014-12-17,28,26,49,5,7,16,28,24,33,2,11,22
"352",2014-12-18,27,13,63,6,10,28,34,25,57,6,9,17
"353",2014-12-19,31,15,36,3,11,18,33,14,62,4,10,8
"354",2014-12-20,27,10,41,3,11,24,31,18,36,2,13,16
"355",2014-12-21,28,20,19,4,1,21,44,12,23,6,5,11
"356",2014-12-22,26,19,20,1,1,21,21,22,25,1,0,11
"357",2014-12-23,23,21,30,1,0,22,29,27,27,0,0,9
"358",2014-12-24,22,14,23,2,1,15,22,16,22,3,1,10
"359",2014-12-25,18,7,5,1,0,3,16,8,8,0,0,4
"360",2014-12-26,27,8,42,0,1,18,21,10,30,1,1,5
"361",2014-12-27,22,19,40,4,1,34,34,15,46,3,0,18
"362",2014-12-28,20,13,21,2,3,23,24,13,24,2,3,13
"363",2014-12-29,25,9,14,3,1,21,26,13,11,4,2,13
"364",2014-12-30,23,11,28,1,5,19,28,10,27,2,4,9
"365",2014-12-31,27,16,54,3,1,14,36,16,55,3,1,4
"366",2015-01-01,27,5,33,11,2,24,20,9,33,11,1,13
"367",2015-01-02,20,19,40,3,4,18,27,16,45,3,5,7
"368",2015-01-03,28,24,44,3,3,14,19,19,41,2,1,9
"369",2015-01-04,23,7,21,1,0,16,36,16,23,1,1,5
"370",2015-01-05,26,20,14,1,0,19,31,21,18,4,0,8
"371",2015-01-06,33,12,28,3,0,24,35,18,16,4,0,12
"372",2015-01-07,20,10,39,1,2,19,25,14,45,1,0,13
"373",2015-01-08,22,18,56,1,17,24,19,22,41,0,18,16
"374",2015-01-09,19,25,48,4,8,25,22,15,59,3,7,10
"375",2015-01-10,14,15,61,3,10,23,21,20,61,5,7,10
"376",2015-01-11,11,5,36,6,5,19,15,12,38,6,5,8
"377",2015-01-12,21,15,19,3,0,6,29,14,14,3,1,5
"378",2015-01-13,31,16,25,4,6,27,26,13,22,1,5,8
"379",2015-01-14,19,13,45,4,6,31,27,19,34,5,6,18
"380",2015-01-15,31,20,56,2,11,20,25,18,57,0,8,7
"381",2015-01-16,34,19,64,0,11,31,25,14,56,1,11,13
"382",2015-01-17,20,13,63,1,4,21,29,8,61,1,2,17
"383",2015-01-18,12,12,32,1,11,19,22,20,56,1,14,10
"384",2015-01-19,27,20,19,1,1,19,24,24,22,1,0,7
"385",2015-01-20,33,20,34,6,5,31,19,19,24,2,6,17
"386",2015-01-21,26,14,42,5,4,29,35,23,42,9,4,14
"387",2015-01-22,22,21,53,1,6,31,35,16,37,0,1,9
"388",2015-01-23,30,30,45,5,12,23,30,29,54,4,15,15
"389",2015-01-24,21,10,41,2,3,20,22,17,53,1,5,5
"390",2015-01-25,31,10,29,4,1,21,22,7,34,4,1,22
"391",2015-01-26,41,17,15,0,0,10,36,19,15,2,0,7
"392",2015-01-27,24,12,26,3,1,30,28,13,15,3,0,13
"393",2015-01-28,21,17,57,3,12,32,26,11,57,2,13,17
"394",2015-01-29,29,15,80,0,17,14,22,20,75,1,17,12
"395",2015-01-30,23,17,54,4,1,24,24,13,56,3,1,10
"396",2015-01-31,16,12,73,3,1,19,15,17,73,3,1,8
"397",2015-02-01,16,9,34,3,5,11,18,9,38,2,5,6
"398",2015-02-02,24,9,18,0,0,20,21,8,22,1,0,10
